MCStep s           	 Energy_U	Average_Energy_<U>	      Variance	 Order_Parameter	 Acceptance_Ratio	 Temperature
54	   -190.65359	              -190.48917	      5.257159	    0.96320829	         12.5	         0.1
54	   -190.67097	              -190.48949	     5.2591923	    0.96688122	        9.375	         0.1
55	   -190.76974	              -190.49458	     5.1976466	    0.96749955	         6.25	         0.1
55	   -190.80749	              -190.49527	     5.2020036	    0.96749955	            0	         0.1
56	   -190.81803	              -190.50103	     5.1474453	    0.96679045	         6.25	         0.1
56	   -190.69193	              -190.49878	     5.1323453	    0.96711293	        9.375	         0.1
57	   -190.61196	              -190.50077	     5.0560715	    0.96711293	            0	         0.1
57	   -190.64984	              -190.50143	     5.0606092	    0.96855215	        3.125	         0.1
58	    -190.8459	              -190.50737	     5.0132558	    0.96796623	         6.25	         0.1
58	   -190.92891	               -190.5088	     5.0225039	    0.96796623	            0	         0.1
59	   -190.82685	              -190.51419	     4.9726234	    0.96720257	        3.125	         0.1
59	   -190.74281	              -190.51277	     4.9636899	    0.96720257	            0	         0.1
60	   -190.73436	              -190.51646	     4.9054095	    0.96651863	        3.125	         0.1
60	   -190.69803	              -190.51586	     4.9014771	    0.96708035	        3.125	         0.1
61	   -190.67356	              -190.51844	     4.8384602	    0.96708035	            0	         0.1
61	   -190.48855	              -190.51541	     4.8197182	    0.96391388	         6.25	         0.1
62	   -190.33162	              -190.51244	     4.7260432	    0.96462815	         6.25	         0.1
62	   -190.50348	              -190.51522	     4.7420529	    0.96552573	        3.125	         0.1
63	   -190.50348	              -190.51503	     4.6668331	    0.96552573	            0	         0.1
63	   -190.52034	               -190.5153	      4.668471	     0.9649982	        3.125	         0.1
64	   -190.85743	              -190.52064	     4.6315219	    0.96396609	         6.25	         0.1
64	   -190.98523	              -190.52264	     4.6445335	    0.96396609	            0	         0.1
65	   -190.98892	              -190.52981	     4.6210087	    0.96264131	        3.125	         0.1
65	   -190.90175	              -190.52847	     4.6116972	    0.96250782	         6.25	         0.1
66	   -190.76138	                -190.532	     4.5649993	    0.96188689	        3.125	         0.1
66	    -190.6171	              -190.52982	     4.5510487	    0.96415531	         6.25	         0.1
67	   -190.60489	              -190.53094	     4.4910089	    0.96452489	        3.125	         0.1
67	   -190.64472	              -190.53153	     4.4947639	    0.96609809	        3.125	         0.1
68	   -190.80191	              -190.53551	     4.4548609	     0.9647042	         6.25	         0.1
68	   -190.85662	              -190.53631	     4.4603019	    0.96636429	        3.125	         0.1
69	   -190.53631	              -190.53631	     4.3965833	    0.96181436	         12.5	         0.1
69	   -190.24641	              -190.53211	     4.3724734	    0.96377099	         6.25	         0.1
70	   -190.27871	              -190.52849	     4.2892269	    0.96334368	        3.125	         0.1
70	   -190.48243	               -190.5314	     4.3065663	    0.96230991	        3.125	         0.1
71	   -190.53682	              -190.53148	     4.2472147	    0.95935222	         6.25	         0.1
71	   -190.48822	              -190.53079	     4.2431005	    0.96061594	        3.125	         0.1
72	   -190.35296	              -190.52832	     4.1705706	    0.96128599	         6.25	         0.1
72	   -190.30279	              -190.52763	     4.1665045	    0.96128599	            0	         0.1
73	    -190.1927	              -190.52304	     4.0844543	     0.9618815	         6.25	         0.1
73	   -189.85982	              -190.51848	     4.0617134	    0.96038334	        3.125	         0.1
74	   -189.94088	              -190.51067	     3.9634185	    0.95956411	         6.25	         0.1
74	   -190.14886	              -190.51348	     3.9785481	    0.96012456	        3.125	         0.1
75	   -190.47754	                -190.513	     3.9232599	     0.9597798	        3.125	         0.1
75	   -190.64909	              -190.51529	     3.9374402	    0.96064352	         6.25	         0.1
76	   -190.66483	              -190.51726	     3.8985359	    0.96064352	            0	         0.1
76	   -190.66362	              -190.51724	     3.8984222	    0.95905849	        3.125	         0.1
77	   -190.65734	              -190.51906	     3.8597376	    0.95905849	            0	         0.1
77	   -190.69277	              -190.51952	     3.8626906	    0.95949575	        3.125	         0.1
78	   -190.69958	              -190.52183	     3.8282215	    0.95949575	            0	         0.1
78	   -190.89183	               -190.5243	     3.8462356	    0.95938685	         6.25	         0.1
79	   -191.23875	              -190.53334	     3.8595503	    0.95938685	            0	         0.1
79	   -191.08027	              -190.53133	     3.8443445	    0.96005792	        3.125	         0.1
80	   -190.95565	              -190.53664	     3.8311306	    0.95945642	         6.25	         0.1
80	    -190.9241	              -190.53624	     3.8286326	    0.95996174	        3.125	         0.1
81	     -190.925	              -190.54104	     3.8129613	    0.95996174	            0	         0.1
81	   -190.61703	              -190.53724	      3.788002	    0.95898258	         6.25	         0.1
82	   -190.54144	              -190.53729	      3.742675	    0.95898258	            0	         0.1
82	    -190.3463	              -190.53491	     3.7288614	    0.95712434	        3.125	         0.1
83	   -190.26647	              -190.53168	     3.6657033	    0.95712434	            0	         0.1
83	   -190.24861	              -190.53146	     3.6645688	     0.9592051	        3.125	         0.1
84	   -190.24182	              -190.52801	     3.6003765	    0.96000008	        9.375	         0.1
84	   -190.56693	              -190.53188	     3.6240359	    0.96000008	            0	         0.1
85	   -190.56693	               -190.5323	     3.5844152	    0.96000008	            0	         0.1
85	   -190.53882	              -190.53197	     3.5823864	    0.95845066	        3.125	         0.1
